"A._CID","B._Lib_Con","C._MID","F1.1","F1.2","F1.3","G1.1","G1.2","G1.3","G1.4","H1.1","H1.2","I1.1","I1.2","F1.4"
3,0,"LIB012",1,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB013",0,0,0,0,0,1,0,0,0,3,4,1
3,0,"LIB014",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB015",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB012",0,1,0,0,0,0,1,0,0,2,3,1
1,0,"LIB013",0,1,0,0,0,0,0,0,0,3,4,1
1,0,"LIB014",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB015",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB016",0,1,0,0,0,1,0,0,0,0,0,1
1,0,"LIB018",0,1,0,0,0,1,0,0,0,3,4,1
1,0,"LIB019",0,1,0,0,0,0,0,0,0,1,3,1
1,0,"LIB020",0,1,0,0,0,0,0,1,0,1,1,1
1,0,"LIB021",0,1,0,0,0,0,1,0,0,3,0,1
1,0,"LIB022",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB023",0,1,0,0,0,0,1,0,0,4,3,1
1,0,"LIB024",0,1,0,0,0,1,0,0,0,0,0,1
1,0,"LIB026",0,0,0,0,0,0,1,0,0,2,0,1
1,0,"LIB027",1,1,0,0,0,0,0,0,0,0,2,1
1,0,"LIB028",0,0,1,0,0,0,0,0,0,2,0,1
1,0,"LIB029",0,1,0,0,0,1,0,0,0,3,2,1
1,0,"LIB030",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB032",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB033",0,0,1,0,0,0,0,0,0,2,3,1
1,0,"LIB034",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB016",0,1,0,0,0,1,0,0,0,3,0,1
1,0,"LIB035",1,1,1,0,0,0,1,0,0,2,3,1
3,0,"LIB018",0,0,0,0,0,1,0,0,0,3,4,1
1,0,"LIB036",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB037",0,0,1,0,0,0,0,0,0,4,0,1
3,0,"LIB019",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB038",1,1,1,0,0,1,1,0,0,0,0,1
3,0,"LIB020",0,0,0,0,0,0,0,0,0,1,4,1
1,0,"LIB039",0,0,1,0,0,1,0,0,0,0,2,1
3,0,"LIB021",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB040",0,0,1,0,0,0,0,0,0,2,0,1
3,0,"LIB022",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB023",0,1,0,0,0,0,1,0,0,0,0,1
1,0,"LIB044",1,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB045",0,1,0,0,0,0,1,0,0,0,0,1
1,0,"LIB046",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB024",0,1,0,0,0,0,0,0,0,0,3,1
1,0,"LIB047",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB026",0,0,0,0,0,0,0,0,0,0,0,1
1,0,"LIB048",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB027",1,1,0,0,0,0,0,0,0,3,2,1
1,0,"LIB049",0,1,0,0,0,0,0,0,0,2,3,1
3,0,"LIB028",0,0,1,0,0,0,0,0,0,2,0,1
3,0,"LIB029",1,1,0,0,0,0,0,0,0,0,2,1
1,0,"LIB050",1,1,0,0,0,0,0,0,0,3,2,1
1,0,"LIB051",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB052",0,1,0,0,0,0,0,0,0,3,3,1
1,0,"LIB053",0,0,1,0,0,1,0,0,0,0,0,1
1,0,"LIB054",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB055",0,1,0,0,0,0,0,0,0,4,0,1
1,0,"LIB056",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB057",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB058",1,1,0,0,0,0,1,0,0,3,3,1
1,0,"LIB060",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB030",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB032",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB033",0,0,0,0,0,0,0,0,0,2,0,1
3,0,"LIB034",0,1,0,0,0,1,0,0,0,0,4,1
3,0,"LIB035",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB036",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB037",0,0,1,0,0,0,0,0,0,4,0,1
3,0,"LIB038",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB039",0,0,1,0,0,0,0,0,0,0,2,1
3,0,"LIB040",0,0,1,0,0,0,0,0,0,3,0,1
3,0,"LIB044",1,1,0,0,0,0,0,0,0,3,0,1
3,0,"LIB045",0,1,0,0,0,0,0,0,0,3,3,1
3,0,"LIB046",1,1,0,0,0,0,0,0,0,3,0,1
3,0,"LIB047",0,0,0,0,0,0,0,0,0,2,0,1
3,0,"LIB048",0,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB049",1,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB050",0,1,0,0,0,0,0,0,0,0,3,1
3,0,"LIB051",0,0,0,0,0,0,0,0,0,0,3,1
3,0,"LIB052",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB053",0,0,1,0,0,1,0,0,0,0,0,1
3,0,"LIB054",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB055",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB056",0,0,0,0,0,0,0,0,0,2,0,1
3,0,"LIB057",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB058",1,1,0,0,0,0,0,0,0,3,1,1
3,0,"LIB060",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB061",0,0,0,0,0,0,0,0,0,0,0,1
1,0,"LIB062",0,1,0,0,0,0,0,0,0,1,1,1
1,0,"LIB063",0,1,0,0,0,0,0,0,0,3,0,1
1,0,"LIB064",1,1,0,0,0,0,1,0,0,1,3,1
1,0,"LIB066",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB067",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB068",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB069",0,0,1,0,0,0,0,0,0,3,3,1
1,0,"LIB070",0,0,0,0,0,0,0,0,0,2,2,1
