CID,Lib_Con,MID,election,internala,externala,visstereo,textstereo,visinsult,textinsult,symbolicalleg,textualalleg,tonevis,tonetext
Luzie,Conservative,CON001,No,No,Yes,No,No,No,No,No,No,Neutral,Negative
Luzie,Conservative,CON002,No,No,No,No,No,No,No,No,No,Neutral,Neutral
Luzie,Conservative,CON003,No,No,No,No,No,No,No,No,No,Negative,Neutral
Aglaia,Liberal,LIB009,No,No,No,No,No,No,Yes,No,No,Neutral,Negative
Aglaia,Liberal,LIB007,No,No,No,No,No,No,No,No,No,Negative,Neutral
Aglaia,Liberal,LIB008,No,No,Yes,No,No,No,No,No,No,Neutral,Positive
Aglaia,Liberal,LIB010,No,Yes,No,No,No,No,Yes,No,No,Neutral,Negative
Aglaia,Liberal,LIB001,No,No,No,No,No,Yes,No,No,No,Negative,Neutral
Aglaia,Liberal,LIB002,Yes,No,No,No,No,No,Yes,No,No,Negative,Balanced
Aglaia,Liberal,LIB003,No,No,No,No,No,Yes,Yes,No,No,Negative,Negative
Aglaia,Liberal,LIB004,No,No,Yes,No,No,No,Yes,No,No,Neutral,Negative
Aglaia,Liberal,LIB005,No,Yes,No,No,No,No,No,No,No,Negative,Negative
Amy,Conservative,CON001,No,No,Yes,No,No,No,Yes,No,No,Neutral,Negative
Aglaia,Liberal,LIB006,Yes,No,No,No,No,Yes,Yes,No,Yes,Negative,Positive
Amy,Conservative,CON002,No,No,No,No,No,No,No,No,No,Neutral,Negative
Aglaia,Conservative,CON009,Yes,No,No,No,No,No,Yes,No,No,Negative,Negative
Amy,Conservative,CON003,No,Yes,No,No,No,No,Yes,No,No,Balanced,Negative
Aglaia,Conservative,CON010,No,No,No,Yes,Yes,No,No,No,No,Positive,Balanced
Amy,Conservative,CON004,No,Yes,No,No,No,No,Yes,No,No,Negative,Negative
Aglaia,Conservative,CON001,No,No,Yes,No,No,No,Yes,No,No,Neutral,Negative
Aglaia,Conservative,CON002,No,No,No,No,Yes,No,No,No,No,Neutral,Negative
Aglaia,Conservative,CON003,No,No,No,No,No,No,No,No,Yes,Negative,Negative
Aglaia,Conservative,CON004,No,Yes,No,No,No,No,No,No,No,Negative,Balanced
Aglaia,Conservative,CON005,No,Yes,No,No,No,No,No,No,No,Neutral,Positive
Aglaia,Conservative,CON006,No,No,Yes,No,No,Yes,Yes,No,No,Negative,Negative
Aglaia,Conservative,CON007,No,Yes,No,No,No,No,Yes,No,No,Balanced,Balanced
Aglaia,Conservative,CON008,No,No,Yes,No,No,No,Yes,Yes,No,Neutral,Balanced
Amy,Conservative,CON005,No,Yes,No,No,No,No,No,No,No,Neutral,Negative
Amy,Conservative,CON006,No,Yes,Yes,No,No,No,No,Yes,No,Positive,Negative
Amy,Conservative,CON007,Yes,Yes,No,No,No,No,Yes,No,No,Neutral,Negative
Amy,Conservative,CON008,Yes,No,Yes,No,No,No,No,No,Yes,Balanced,Negative
Amy,Conservative,CON009,Yes,Yes,No,No,No,No,Yes,No,No,Negative,Negative
Amy,Conservative,CON010,No,Yes,No,No,Yes,No,No,No,No,Positive,Negative
Amy,Liberal,LIB001,No,Yes,No,No,No,Yes,No,No,No,Negative,Neutral
Amy,Liberal,LIB002,Yes,Yes,No,No,No,No,No,No,No,Negative,Negative
Amy,Liberal,LIB003,No,Yes,No,No,No,No,No,No,No,Negative,Negative
Amy,Liberal,LIB004,Yes,No,Yes,No,No,No,Yes,No,No,Balanced,Negative
Amy,Liberal,LIB005,No,Yes,No,No,No,No,Yes,No,No,Negative,Negative
Amy,Liberal,LIB006,Yes,Yes,No,No,No,Yes,No,Yes,No,Negative,Neutral
Amy,Liberal,LIB007,Yes,Yes,No,No,No,Yes,Yes,No,No,Negative,Positive
Amy,Liberal,LIB008,Yes,Yes,Yes,No,No,No,No,No,No,Neutral,Negative
Amy,Liberal,LIB009,Yes,Yes,No,No,No,No,Yes,No,No,Neutral,Negative
Amy,Liberal,LIB010,Yes,Yes,No,No,No,No,No,No,No,Neutral,Negative
Luzie,Conservative,CON004,No,Yes,No,No,No,No,No,No,No,Negative,Negative
Luzie,Conservative,CON005,Yes,Yes,No,No,No,No,No,Yes,No,Balanced,Negative
Luzie,Conservative,CON006,No,No,Yes,No,No,No,No,Yes,No,Negative,Negative
Luzie,Conservative,CON007,Yes,Yes,No,No,No,No,No,Yes,No,Neutral,Negative
Luzie,Conservative,CON008,Yes,No,Yes,No,No,No,No,No,No,Neutral,Negative
Luzie,Conservative,CON009,Yes,No,No,No,No,No,No,No,No,Neutral,Negative
Luzie,Conservative,CON010,No,No,No,No,No,No,No,No,No,Neutral,Neutral
Luzie,Liberal,LIB001,No,No,No,No,No,No,No,No,No,Negative,Neutral
Luzie,Liberal,LIB002,Yes,No,No,No,No,No,No,No,No,Negative,Negative
Luzie,Liberal,LIB003,No,No,No,No,No,No,No,No,No,Negative,Negative
Luzie,Liberal,LIB004,No,No,Yes,No,No,No,No,No,No,Neutral,Negative
Luzie,Liberal,LIB005,No,Yes,No,No,No,No,No,No,No,Negative,Negative
Luzie,Liberal,LIB006,No,No,No,No,No,No,No,No,Yes,Neutral,Neutral
Luzie,Liberal,LIB007,No,No,No,No,No,No,No,No,No,Negative,Neutral
Luzie,Liberal,LIB008,No,Yes,No,No,No,No,No,No,No,Neutral,Negative
Luzie,Liberal,LIB009,Yes,No,No,No,No,No,Yes,No,No,Neutral,Negative
Luzie,Liberal,LIB010,Yes,Yes,No,No,No,No,No,No,No,Neutral,Negative
